date,period,price,volume
2021-03-14,1,32.105000000000004,1082.15
2021-03-14,2,30.490000000000002,1146.9499999999998
2021-03-14,3,20.634999999999998,1134.0
2021-03-14,4,17.14,1142.1999999999998
2021-03-14,5,25.75,1495.3
2021-03-14,6,21.3,1176.4499999999998
2021-03-14,7,20.68,1491.7
2021-03-14,8,23.375,1631.75
2021-03-14,9,17.395,1958.0
2021-03-14,10,18.18,2400.7
2021-03-14,11,16.755000000000003,2228.55
2021-03-14,12,17.205,3052.0
2021-03-14,13,32.575,3462.7
2021-03-14,14,44.35,4190.950000000001
2021-03-14,15,47.4,4305.950000000001
2021-03-14,16,47.81,2397.8
2021-03-14,17,54.465,3004.4
2021-03-14,18,67.64,2298.7
2021-03-14,19,70.20500000000001,2537.0
2021-03-14,20,58.99,2507.65
2021-03-14,21,37.005,1966.4499999999998
2021-03-14,22,33.36,2460.8999999999996
2021-03-14,23,27.91,2293.4
2021-03-14,24,21.625,1644.6
2021-03-15,1,23.85,1880.05
2021-03-15,2,25.655,1882.05
2021-03-15,3,29.33,1403.0
2021-03-15,4,34.730000000000004,1251.0
2021-03-15,5,34.825,1555.85
2021-03-15,6,45.11,2108.4
2021-03-15,7,49.58,1816.6
2021-03-15,8,48.125,2237.05
2021-03-15,9,70.03999999999999,2555.25
2021-03-15,10,59.09,3027.6
2021-03-15,11,69.285,2776.9
2021-03-15,12,68.695,2680.3500000000004
2021-03-15,13,70.095,2712.05
2021-03-15,14,54.85,3293.8500000000004
2021-03-15,15,52.245000000000005,3144.2
2021-03-15,16,52.129999999999995,2367.4
2021-03-15,17,57.775000000000006,2694.4
2021-03-15,18,102.78,3421.75
2021-03-15,19,174.18,3232.85
2021-03-15,20,114.95,3309.25
2021-03-15,21,100.195,2661.8500000000004
2021-03-15,22,63.67,1731.9
2021-03-15,23,54.755,2051.8
2021-03-15,24,46.245000000000005,2101.0
2021-03-16,1,48.03,1156.5500000000002
2021-03-16,2,43.83,1470.6
2021-03-16,3,46.69,1728.1
2021-03-16,4,45.18,1115.85
2021-03-16,5,46.265,1080.65
2021-03-16,6,55.56,1524.15
2021-03-16,7,60.129999999999995,1858.0
2021-03-16,8,47.58,2608.8999999999996
2021-03-16,9,62.845,2349.95
2021-03-16,10,56.105000000000004,2919.5
2021-03-16,11,50.325,3127.2
2021-03-16,12,39.155,3307.25
2021-03-16,13,45.645,5300.15
2021-03-16,14,45.535,5071.75
2021-03-16,15,44.545,5003.85
2021-03-16,16,45.625,5993.5
2021-03-16,17,48.01,4845.55
2021-03-16,18,51.375,3882.1499999999996
2021-03-16,19,60.285,3985.15
2021-03-16,20,55.38,3136.95
2021-03-16,21,48.52,2906.3999999999996
2021-03-16,22,49.355000000000004,3062.45
2021-03-16,23,44.295,2923.45
2021-03-16,24,35.725,1426.5
2021-04-21,1,53.19,941.45
2021-04-21,2,57.055,1231.65
2021-04-21,3,56.405,1288.5500000000002
2021-04-21,4,59.254999999999995,1789.9
2021-04-21,5,58.755,1549.35
2021-04-21,6,65.0,1240.5
2021-04-21,7,74.805,1438.75
2021-04-21,8,77.71000000000001,2337.1499999999996
2021-04-21,9,76.465,2299.55
2021-04-21,10,61.22,2560.1
2021-04-21,11,62.12,4053.4
2021-04-21,12,63.51,3778.65
2021-04-21,13,61.78,3346.1000000000004
2021-04-21,14,59.14,3046.1
2021-04-21,15,61.2,3087.6
2021-04-21,16,57.785,2087.05
2021-04-21,17,56.455,2203.1
2021-04-21,18,70.33,2423.25
2021-04-21,19,77.545,2600.05
2021-04-21,20,77.47,1905.3
2021-04-21,21,79.22,1578.6
2021-04-21,22,74.11,1589.1
2021-04-21,23,71.58500000000001,2016.4499999999998
2021-04-21,24,49.31,1511.8000000000002
2021-04-22,1,38.275000000000006,1336.5
2021-04-22,2,53.739999999999995,1097.1
2021-04-22,3,57.125,1273.35
2021-04-22,4,57.25,1305.4499999999998
2021-04-22,5,60.31,1647.4
2021-04-22,6,60.91,1271.4
2021-04-22,7,66.545,1690.0
2021-04-22,8,82.44999999999999,1756.6
2021-04-22,9,85.235,2028.05
2021-04-22,10,65.05,2475.0
2021-04-22,11,67.59,2619.9
2021-04-22,12,61.8,3137.6499999999996
2021-04-22,13,61.795,3008.1499999999996
2021-04-22,14,51.495000000000005,3473.85
2021-04-22,15,52.42,3743.6499999999996
2021-04-22,16,58.01,1656.6999999999998
2021-04-22,17,63.19,2413.1499999999996
2021-04-22,18,65.71,2363.8
2021-04-22,19,71.575,2541.95
2021-04-22,20,78.75,2069.1
2021-04-22,21,79.655,1769.85
2021-04-22,22,68.24,1744.65
2021-04-22,23,65.62,2143.45
2021-04-22,24,56.975,909.0999999999999
2021-04-23,1,59.224999999999994,694.8
2021-04-23,2,54.065,759.8
2021-04-23,3,54.215,1012.95
2021-04-23,4,59.94,926.3
2021-04-23,5,58.29,1233.2
2021-04-23,6,73.66,899.6500000000001
2021-04-23,7,75.275,1252.45
2021-04-23,8,90.245,1332.65
2021-04-23,9,88.48,1899.15
2021-04-23,10,82.345,2654.2
2021-04-23,11,72.16499999999999,2279.8
2021-04-23,12,67.205,3153.5
2021-04-23,13,60.555,3030.8999999999996
2021-04-23,14,55.65,2581.55
2021-04-23,15,56.11,3128.7
2021-04-23,16,48.025000000000006,1849.3000000000002
2021-04-23,17,56.67,2399.55
2021-04-23,18,53.64,2985.1499999999996
2021-04-23,19,65.78,2923.55
2021-04-23,20,70.21000000000001,2239.5
2021-04-23,21,71.775,2218.5
2021-04-23,22,73.41499999999999,2590.55
2021-04-23,23,68.14,3045.8
2021-04-23,24,75.68,1357.4
2021-04-24,1,64.08500000000001,1042.15
2021-04-24,2,55.185,733.2
2021-04-24,3,53.129999999999995,731.8
2021-04-24,4,49.79,695.3
2021-04-24,5,50.765,948.5
2021-04-24,6,49.15,886.9
2021-04-24,7,53.61,1007.25
2021-04-24,8,66.265,1353.15
2021-04-24,9,75.60499999999999,1550.3
2021-04-24,10,74.22999999999999,2103.65
2021-04-24,11,69.16,2418.6000000000004
2021-04-24,12,61.66,2062.85
2021-04-24,13,55.36,2084.45
2021-04-24,14,50.19,2052.0
2021-04-24,15,48.620000000000005,2334.95
2021-04-24,16,47.519999999999996,1655.45
2021-04-24,17,46.97,1629.35
2021-04-24,18,50.745000000000005,1815.8
2021-04-24,19,64.33,1680.65
2021-04-24,20,67.22,1494.65
2021-04-24,21,76.265,1613.5
2021-04-24,22,72.03999999999999,1651.1999999999998
2021-04-24,23,62.839999999999996,1617.1999999999998
2021-04-24,24,30.335,1096.4
2021-04-25,1,42.28,1419.1
2021-04-25,2,47.905,1087.3
2021-04-25,3,47.085,1011.4000000000001
2021-04-25,4,48.725,1203.9
2021-04-25,5,47.394999999999996,1094.35
2021-04-25,6,42.49,997.4000000000001
2021-04-25,7,39.61,1455.5500000000002
2021-04-25,8,41.4,1477.35
2021-04-25,9,40.19,1528.65
2021-04-25,10,41.78,1838.6
2021-04-25,11,44.18,2237.55
2021-04-25,12,53.405,2570.2
2021-04-25,13,56.85,2682.5
2021-04-25,14,55.795,2391.15
2021-04-25,15,52.775,2556.75
2021-04-25,16,54.87,2084.35
2021-04-25,17,54.035,2101.65
2021-04-25,18,65.815,1970.75
2021-04-25,19,67.0,2040.95
2021-04-25,20,79.09,1317.85
2021-04-25,21,78.83,1601.65
2021-04-25,22,73.865,1794.6
2021-04-25,23,57.64,1728.5
2021-04-25,24,46.215,930.5
2021-04-26,1,44.855000000000004,959.6500000000001
